seed,kl,M,method,num_samples
2,0.12188631084471169,2,F1F2,100000
4,0.12360516563709822,2,F1F2,100000
6,0.12157109896284979,2,F1F2,100000
8,0.12601341658423948,2,F1F2,100000
10,0.12460659797694973,2,F1F2,100000
12,0.12420742154814235,2,F1F2,100000
14,0.12189398277307362,2,F1F2,100000
16,0.1226519640975603,2,F1F2,100000
18,0.12452587007869553,2,F1F2,100000
20,0.12692793692483306,2,F1F2,100000
22,0.12367012072466466,2,F1F2,100000
24,0.12615622989270392,2,F1F2,100000
26,0.12203697879306574,2,F1F2,100000
28,0.12518847054534277,2,F1F2,100000
30,0.12387578012563694,2,F1F2,100000
32,0.122583127674595,2,F1F2,100000
34,0.1244502897726143,2,F1F2,100000
36,0.12587555026540542,2,F1F2,100000
38,0.12208528759285997,2,F1F2,100000
40,0.1238645995721086,2,F1F2,100000
2,0.11808687975239707,3,F1F2,100000
4,0.12028168593107935,3,F1F2,100000
6,0.11640600052855987,3,F1F2,100000
8,0.11809751766296017,3,F1F2,100000
10,0.11834513250171241,3,F1F2,100000
12,0.11665101393866806,3,F1F2,100000
14,0.11740827761973449,3,F1F2,100000
16,0.11874075425220454,3,F1F2,100000
18,0.11849071227798191,3,F1F2,100000
20,0.11910979290428969,3,F1F2,100000
22,0.11985066435131486,3,F1F2,100000
24,0.11835364520305447,3,F1F2,100000
26,0.11850301821774067,3,F1F2,100000
28,0.11600529286546646,3,F1F2,100000
30,0.11717175042123529,3,F1F2,100000
32,0.11705739106530544,3,F1F2,100000
34,0.11786628132727017,3,F1F2,100000
36,0.11670109183899413,3,F1F2,100000
38,0.11805926137449063,3,F1F2,100000
40,0.11559800943181386,3,F1F2,100000
2,0.05855472989363619,6,F1F2,100000
4,0.05939622516027043,6,F1F2,100000
6,0.05959853241453317,6,F1F2,100000
8,0.05994420972988834,6,F1F2,100000
10,0.058500682448034524,6,F1F2,100000
12,0.05874776726199471,6,F1F2,100000
14,0.05975935215487027,6,F1F2,100000
16,0.059492298483309725,6,F1F2,100000
18,0.059666869146344226,6,F1F2,100000
20,0.05945257006744242,6,F1F2,100000
22,0.05936777920438985,6,F1F2,100000
24,0.05980025799823352,6,F1F2,100000
26,0.05895887176991721,6,F1F2,100000
28,0.05989795364306971,6,F1F2,100000
30,0.059668664290960294,6,F1F2,100000
32,0.059483016239198605,6,F1F2,100000
34,0.05982790299221463,6,F1F2,100000
36,0.0587633976329478,6,F1F2,100000
38,0.05976358356216949,6,F1F2,100000
40,0.059006226078547996,6,F1F2,100000
2,0.016307782985403918,10,F1F2,100000
4,0.018202622195591545,10,F1F2,100000
6,0.016909143058786213,10,F1F2,100000
8,0.017424744842866602,10,F1F2,100000
10,0.017700461641755538,10,F1F2,100000
12,0.017837722804753042,10,F1F2,100000
14,0.01888177908764277,10,F1F2,100000
16,0.017623783768861756,10,F1F2,100000
18,0.018114659009089706,10,F1F2,100000
20,0.017081363175876163,10,F1F2,100000
22,0.0191576333466017,10,F1F2,100000
24,0.019162469760082956,10,F1F2,100000
26,0.019598071477016532,10,F1F2,100000
28,0.01861472729599356,10,F1F2,100000
30,0.01776270310911343,10,F1F2,100000
32,0.018200112728159468,10,F1F2,100000
34,0.01751714530702131,10,F1F2,100000
36,0.018546333972210505,10,F1F2,100000
38,0.01838404086070966,10,F1F2,100000
40,0.018561672743459212,10,F1F2,100000
2,0.0070214281182572336,20,F1F2,100000
4,0.0070397865044640184,20,F1F2,100000
6,0.007525648555937181,20,F1F2,100000
8,0.007265078350162213,20,F1F2,100000
10,0.00751689260939159,20,F1F2,100000
12,0.007129421917991152,20,F1F2,100000
14,0.006904815878389314,20,F1F2,100000
16,0.0067712733880043174,20,F1F2,100000
18,0.006569716196239028,20,F1F2,100000
20,0.007095297868204398,20,F1F2,100000
22,0.007188364310323436,20,F1F2,100000
24,0.006894110325042391,20,F1F2,100000
26,0.0070856320124654815,20,F1F2,100000
28,0.007669387332256861,20,F1F2,100000
30,0.0068074462832257154,20,F1F2,100000
32,0.007234850092892486,20,F1F2,100000
34,0.006708871401812644,20,F1F2,100000
36,0.006922740713299902,20,F1F2,100000
38,0.007469426345274144,20,F1F2,100000
40,0.007217130803219618,20,F1F2,100000
2,0.007165780138169708,30,F1F2,100000
4,0.0074042119077120105,30,F1F2,100000
6,0.007737431278119544,30,F1F2,100000
8,0.006758757561922124,30,F1F2,100000
10,0.006672304980313015,30,F1F2,100000
12,0.007674832136785881,30,F1F2,100000
14,0.007710566690928289,30,F1F2,100000
16,0.006970153931465717,30,F1F2,100000
18,0.006823232851090211,30,F1F2,100000
20,0.007033024343147787,30,F1F2,100000
22,0.006919777084295475,30,F1F2,100000
24,0.006165903362070679,30,F1F2,100000
26,0.007189782154792823,30,F1F2,100000
28,0.008242354467132174,30,F1F2,100000
30,0.00693345960442926,30,F1F2,100000
32,0.007680254621540428,30,F1F2,100000
34,0.007041298130868512,30,F1F2,100000
36,0.006286788300229773,30,F1F2,100000
38,0.007592645562535694,30,F1F2,100000
40,0.007041525588974196,30,F1F2,100000
2,0.0023300739193246045,50,F1F2,100000
4,0.0017519408568738015,50,F1F2,100000
6,0.0018320257099730952,50,F1F2,100000
8,0.0021903121892279387,50,F1F2,100000
10,0.0019100109590084458,50,F1F2,100000
12,0.0023533196425411518,50,F1F2,100000
14,0.00184490205204213,50,F1F2,100000
16,0.0017921192820331555,50,F1F2,100000
18,0.0027672568367940187,50,F1F2,100000
20,0.0023338092124589593,50,F1F2,100000
22,0.0026640876008521275,50,F1F2,100000
24,0.0023154321699294655,50,F1F2,100000
26,0.001935535174538927,50,F1F2,100000
28,0.002841854760699647,50,F1F2,100000
30,0.002031108985754315,50,F1F2,100000
32,0.002241905850016934,50,F1F2,100000
34,0.001914640862764827,50,F1F2,100000
36,0.001617792234426929,50,F1F2,100000
38,0.0024694996390977053,50,F1F2,100000
40,0.0022263024919908503,50,F1F2,100000
2,0.0010249978728609221,60,F1F2,100000
4,0.001337306972835961,60,F1F2,100000
6,0.0010825475225608727,60,F1F2,100000
8,0.0011239022837443713,60,F1F2,100000
10,9.750653717688351e-4,60,F1F2,100000
12,9.517315707370244e-4,60,F1F2,100000
14,0.0010978064605993154,60,F1F2,100000
16,0.0010544985720244426,60,F1F2,100000
18,0.0011993216948873453,60,F1F2,100000
20,0.0012216976250627454,60,F1F2,100000
22,0.001281119885224058,60,F1F2,100000
24,9.211868400385015e-4,60,F1F2,100000
26,0.0012530905075642806,60,F1F2,100000
28,9.948905773349281e-4,60,F1F2,100000
30,0.001158797180835336,60,F1F2,100000
32,9.224876910103319e-4,60,F1F2,100000
34,0.001103316537239607,60,F1F2,100000
36,9.811309406266844e-4,60,F1F2,100000
38,0.0016796859365406647,60,F1F2,100000
40,0.0011226432881983328,60,F1F2,100000
