seed,kl,M,method,num_samples
2,0.1434869285082243,2,SigmoidF2,100000
4,0.14544661048222807,2,SigmoidF2,100000
6,0.145123447294079,2,SigmoidF2,100000
8,0.14528491759788764,2,SigmoidF2,100000
10,0.14271123343821301,2,SigmoidF2,100000
12,0.1453508052516277,2,SigmoidF2,100000
14,0.14416157983646016,2,SigmoidF2,100000
16,0.14424645894546728,2,SigmoidF2,100000
18,0.14533738003666485,2,SigmoidF2,100000
20,0.14657428073444123,2,SigmoidF2,100000
22,0.14466741150365792,2,SigmoidF2,100000
24,0.14513549448454555,2,SigmoidF2,100000
26,0.1443369445814966,2,SigmoidF2,100000
28,0.14391003670308322,2,SigmoidF2,100000
30,0.1479849026609763,2,SigmoidF2,100000
32,0.14703081478038627,2,SigmoidF2,100000
34,0.14808050642769643,2,SigmoidF2,100000
36,0.14095007724221276,2,SigmoidF2,100000
38,0.14393889368436064,2,SigmoidF2,100000
40,0.14552217224133557,2,SigmoidF2,100000
2,0.1289674735877746,3,SigmoidF2,100000
4,0.1282865550988994,3,SigmoidF2,100000
6,0.12791323804201227,3,SigmoidF2,100000
8,0.1296459239341523,3,SigmoidF2,100000
10,0.1289173516873987,3,SigmoidF2,100000
12,0.12742792379360068,3,SigmoidF2,100000
14,0.12748798919799498,3,SigmoidF2,100000
16,0.1259030882755603,3,SigmoidF2,100000
18,0.12645254607179268,3,SigmoidF2,100000
20,0.1294202669988671,3,SigmoidF2,100000
22,0.13038308860386394,3,SigmoidF2,100000
24,0.1266711203435058,3,SigmoidF2,100000
26,0.12852802608706781,3,SigmoidF2,100000
28,0.12882163879495323,3,SigmoidF2,100000
30,0.126230125568231,3,SigmoidF2,100000
32,0.13053998907429332,3,SigmoidF2,100000
34,0.1284998801003674,3,SigmoidF2,100000
36,0.12811734775425876,3,SigmoidF2,100000
38,0.1305821739334263,3,SigmoidF2,100000
40,0.12692110505641807,3,SigmoidF2,100000
2,0.07747271237341025,6,SigmoidF2,100000
4,0.07761761772565734,6,SigmoidF2,100000
6,0.07767586575853969,6,SigmoidF2,100000
8,0.0724285985696973,6,SigmoidF2,100000
10,0.07737236630292799,6,SigmoidF2,100000
12,0.0748398521083864,6,SigmoidF2,100000
14,0.07665277030332263,6,SigmoidF2,100000
16,0.07727280410609083,6,SigmoidF2,100000
18,0.07500083608968211,6,SigmoidF2,100000
20,0.07562640973152313,6,SigmoidF2,100000
22,0.07721916254117289,6,SigmoidF2,100000
24,0.07682280336143776,6,SigmoidF2,100000
26,0.07759292100812587,6,SigmoidF2,100000
28,0.07606217435450446,6,SigmoidF2,100000
30,0.0777922989990465,6,SigmoidF2,100000
32,0.07574857011224623,6,SigmoidF2,100000
34,0.07577302180974144,6,SigmoidF2,100000
36,0.07689322155223621,6,SigmoidF2,100000
38,0.07762031339484565,6,SigmoidF2,100000
40,0.07682223181108228,6,SigmoidF2,100000
2,0.0408134072322035,10,SigmoidF2,100000
4,0.041626351215384716,10,SigmoidF2,100000
6,0.04055601963490929,10,SigmoidF2,100000
8,0.04124163942463355,10,SigmoidF2,100000
10,0.042664471635365686,10,SigmoidF2,100000
12,0.03988524517734149,10,SigmoidF2,100000
14,0.04264479251338926,10,SigmoidF2,100000
16,0.04245789060745864,10,SigmoidF2,100000
18,0.04165248819251843,10,SigmoidF2,100000
20,0.04082318954164066,10,SigmoidF2,100000
22,0.04249595018941221,10,SigmoidF2,100000
24,0.04190212246636804,10,SigmoidF2,100000
26,0.04001303931458011,10,SigmoidF2,100000
28,0.04191343244057677,10,SigmoidF2,100000
30,0.044026749691617795,10,SigmoidF2,100000
32,0.039892839003069724,10,SigmoidF2,100000
34,0.04145318937326792,10,SigmoidF2,100000
36,0.04278404317080842,10,SigmoidF2,100000
38,0.04144951221616466,10,SigmoidF2,100000
40,0.041184249272074425,10,SigmoidF2,100000
2,0.012549231576162612,20,SigmoidF2,100000
4,0.013050205616053745,20,SigmoidF2,100000
6,0.012558127682439135,20,SigmoidF2,100000
8,0.012107446603447869,20,SigmoidF2,100000
10,0.012249333581511479,20,SigmoidF2,100000
12,0.012488874892603974,20,SigmoidF2,100000
14,0.012372773572206341,20,SigmoidF2,100000
16,0.012706197962788934,20,SigmoidF2,100000
18,0.01269453778216345,20,SigmoidF2,100000
20,0.012115544674518475,20,SigmoidF2,100000
22,0.012429526584909922,20,SigmoidF2,100000
24,0.01223913608185967,20,SigmoidF2,100000
26,0.012529564247905967,20,SigmoidF2,100000
28,0.01219102507277725,20,SigmoidF2,100000
30,0.01201476146625069,20,SigmoidF2,100000
32,0.012303951484540221,20,SigmoidF2,100000
34,0.012506620515203792,20,SigmoidF2,100000
36,0.012969026966604957,20,SigmoidF2,100000
38,0.011617122277623793,20,SigmoidF2,100000
40,0.012734987521188401,20,SigmoidF2,100000
2,0.00627510764754291,30,SigmoidF2,100000
4,0.0061774792831919,30,SigmoidF2,100000
6,0.0065919175339352876,30,SigmoidF2,100000
8,0.005812306632986264,30,SigmoidF2,100000
10,0.006571178784621878,30,SigmoidF2,100000
12,0.006033804824738809,30,SigmoidF2,100000
14,0.00656938191982448,30,SigmoidF2,100000
16,0.006329938333244911,30,SigmoidF2,100000
18,0.0060873477512330965,30,SigmoidF2,100000
20,0.006313896816767084,30,SigmoidF2,100000
