seed,kl,M,method,num_samples
2,0.20921151649276126,2,TruncF2,100000
4,0.20868399373120639,2,TruncF2,100000
6,0.205840950893581,2,TruncF2,100000
8,0.20789692258772163,2,TruncF2,100000
10,0.20650773911720677,2,TruncF2,100000
12,0.20838579972404503,2,TruncF2,100000
14,0.20892273111236648,2,TruncF2,100000
16,0.20872147961311072,2,TruncF2,100000
18,0.20455515886848374,2,TruncF2,100000
20,0.20710688358512996,2,TruncF2,100000
22,0.20859486778706327,2,TruncF2,100000
24,0.2077408451758913,2,TruncF2,100000
26,0.2073514657771156,2,TruncF2,100000
28,0.20845383426387443,2,TruncF2,100000
30,0.20519484396174548,2,TruncF2,100000
32,0.20805340971291386,2,TruncF2,100000
34,0.20813760653199154,2,TruncF2,100000
36,0.20731686844990094,2,TruncF2,100000
38,0.20677513838645112,2,TruncF2,100000
40,0.2056927471497012,2,TruncF2,100000
2,0.19140166357931676,3,TruncF2,100000
4,0.18952067189084687,3,TruncF2,100000
6,0.18926934809043772,3,TruncF2,100000
8,0.1928364070008044,3,TruncF2,100000
10,0.19073105118619083,3,TruncF2,100000
12,0.19115386659183287,3,TruncF2,100000
14,0.1918483243551492,3,TruncF2,100000
16,0.19195266543471945,3,TruncF2,100000
18,0.19140122370654566,3,TruncF2,100000
20,0.19252755496080454,3,TruncF2,100000
22,0.18717322124354396,3,TruncF2,100000
24,0.1893210084284398,3,TruncF2,100000
26,0.1935334873341077,3,TruncF2,100000
28,0.1927948854032273,3,TruncF2,100000
30,0.1901397158086553,3,TruncF2,100000
32,0.19405121342382614,3,TruncF2,100000
34,0.1891955139843624,3,TruncF2,100000
36,0.19326554642936955,3,TruncF2,100000
38,0.19090547005190928,3,TruncF2,100000
40,0.19030264862252366,3,TruncF2,100000
2,0.15023224220355402,6,TruncF2,100000
4,0.15058953188528434,6,TruncF2,100000
6,0.15081291454478318,6,TruncF2,100000
8,0.15400050312925373,6,TruncF2,100000
10,0.15669353464851454,6,TruncF2,100000
12,0.15345404235434756,6,TruncF2,100000
14,0.1535489142078852,6,TruncF2,100000
16,0.1522485668504352,6,TruncF2,100000
18,0.15115687544065182,6,TruncF2,100000
20,0.15163728632205675,6,TruncF2,100000
22,0.15070537484392332,6,TruncF2,100000
24,0.14953540818557087,6,TruncF2,100000
26,0.15442231791948302,6,TruncF2,100000
28,0.15174438674858237,6,TruncF2,100000
30,0.14911775081731804,6,TruncF2,100000
32,0.14998376411882575,6,TruncF2,100000
34,0.15167727245772156,6,TruncF2,100000
36,0.1525993539528976,6,TruncF2,100000
38,0.1518583074905564,6,TruncF2,100000
40,0.15036941582742713,6,TruncF2,100000
2,0.11099554144592005,10,TruncF2,100000
4,0.11132332822916524,10,TruncF2,100000
6,0.11094366947251189,10,TruncF2,100000
8,0.10865126291252736,10,TruncF2,100000
10,0.11341722139731303,10,TruncF2,100000
12,0.11258757479336978,10,TruncF2,100000
14,0.11067128749320077,10,TruncF2,100000
16,0.10998196486409029,10,TruncF2,100000
18,0.10945393240242751,10,TruncF2,100000
20,0.11266941116329576,10,TruncF2,100000
22,0.11264535395405062,10,TruncF2,100000
24,0.11121716434156781,10,TruncF2,100000
26,0.11080200386041739,10,TruncF2,100000
28,0.10932024995501877,10,TruncF2,100000
30,0.10726372481805058,10,TruncF2,100000
32,0.1120009437135252,10,TruncF2,100000
34,0.1088774381444253,10,TruncF2,100000
36,0.11057345566650767,10,TruncF2,100000
38,0.11085777861502066,10,TruncF2,100000
40,0.11011740744717002,10,TruncF2,100000
2,0.05034594242753343,20,TruncF2,100000
4,0.05061561894052957,20,TruncF2,100000
6,0.05288406836566395,20,TruncF2,100000
8,0.051479585814149686,20,TruncF2,100000
10,0.0534511158009785,20,TruncF2,100000
12,0.052804301875770676,20,TruncF2,100000
14,0.052149433763066355,20,TruncF2,100000
